complaint_no,title,complaint_at,bin,owner,disposition,comments,disp_date,disp_code,disp_result,year
1477177,Overview for Complaint #:1477177 = RESOLVED,622 3 AVENUE,1089024,622 THIRD AVE. CO. LLC,06/17/2018 - A8 - ECB VIOLATION SERVED,A8-PRIVATELY OWNED PUBLIC SPACE WITH GATES CLOSED AND PAD LO                    CKED AT 5:51PM,2018-06-17,A8,ECB VIOLATION SERVED,2018
1481949,Overview for Complaint #:1481949 = RESOLVED,455 EAST 86 STREET,1073878,CHANNEL CLUB CONDONINIUM,06/16/2018 - A8 - ECB VIOLATION SERVED,"4 BENCHES BROKEN/DAMAGED. MISSING 4 TREES, 4 BIKE PARKING &                     DRINKING FOUNTAIN",2018-06-16,A8,ECB VIOLATION SERVED,2018
1481947,Overview for Complaint #:1481947 = RESOLVED,340 EAST 93 STREET,1078668,340 EAST 93RD STREET CORP,06/16/2018 - A8 - ECB VIOLATION SERVED,"PLAZA GNERAL MAINTENACE, NO COMPLIANT - BROKEN BENCHES,                         DEAD/MISSING PLANTINGS, ETC",2018-06-16,A8,ECB VIOLATION SERVED,2018
3654071,Overview for Complaint #:3654071 = RESOLVED,1 METROTECH CENTER,3319418,FOREST CITY JAY STREET ASSOCIA,06/16/2018 - A8 - ECB VIOLATION SERVED,PLAZA SIGNAGE IS NON COMPLAINT - SIZE IS TOO SMALL - NOT                        CPC APPROVED,2018-06-16,A8,ECB VIOLATION SERVED,2018
1481945,Overview for Complaint #:1481945 = RESOLVED,311 EAST 38 STREET,1021933,NAME NOT ON FILE,06/16/2018 - A8 - ECB VIOLATION SERVED,REQUIRED PLAQUE/SIGNAGE IS MISSING @ PLAZA,2018-06-16,A8,ECB VIOLATION SERVED,2018
1481946,Overview for Complaint #:1481946 = RESOLVED,330 EAST 38 STREET,1076166,THE CORINTHIAN CONDOMINIUM,06/16/2018 - A8 - ECB VIOLATION SERVED,GENERAL MAINTENANCE NON COMPLIANT BROKEN/MISSING MASONARY                       TRUOUGHT PLAZA,2018-06-16,A8,ECB VIOLATION SERVED,2018
1481944,Overview for Complaint #:1481944 = RESOLVED,182 EAST 95 STREET,1087328,PM PARTNERS,06/16/2018 - A8 - ECB VIOLATION SERVED,"PLAZA MISSING ARTWORK, SPIKES ON PLANTERS & BROKEN DRINKING                     FOUNTAIN. TWO ""ICON PARKING"" SIGNS - NO PERMITS",2018-06-16,A8,ECB VIOLATION SERVED,2018
1481948,Overview for Complaint #:1481948 = RESOLVED,444 EAST 86 STREET,1050543,444 EAST 86 STREET OWNERS CORP,06/16/2018 - A8 - ECB VIOLATION SERVED,"PUBLIC PLAZA NON COMPLAINT: ILLEGAL SIGNAGE, DEFECTIVE                          MASONRY & ILLEAL SPIKES ON SEATING",2018-06-16,A8,ECB VIOLATION SERVED,2018
1481950,Overview for Complaint #:1481950 = RESOLVED,40 BROAD STREET,1078985,NOT ON FILE,06/16/2018 - A8 - ECB VIOLATION SERVED,"MISSING ALL REQUIRED AMENITIES @ POPS ARCADE & URBAN PLAZA:                     TREES, PLANTINGS, SEATING, SIGN, ETC",2018-06-16,A8,ECB VIOLATION SERVED,2018
1478091,Overview for Complaint #:1478091 = RESOLVED,55 EAST EAST 52 STREET,1083869,PARK AVENUE PLAZA OWNER LLC,06/12/2018 - A8 - ECB VIOLATION SERVED,PUBLIC FOUNTAIN OPERATIONAL AT TIME OF INSPECTION ..MISSING                     REQUIRED PLAZA SIGNAGE,2018-06-12,A8,ECB VIOLATION SERVED,2018
1478493,Overview for Complaint #:1478493 = RESOLVED,240 EAST 27 STREET,1019855,EQR-EAST 27TH STREET APARTMENT,06/11/2018 - A8 - ECB VIOLATION SERVED,PLAZA OPEN @ TIME OF INSEPCTION. PLANS FOR PLAZA APPEAR TO                      HAVE MECH NOTED. NOV ISSUED FOR MISC MAINTENACE ISSUES,2018-06-11,A8,ECB VIOLATION SERVED,2018
1479819,Overview for Complaint #:1479819 = RESOLVED,41 MAIDEN LANE,1079043,59 MAIDEN LANE ASSOC LLC,05/23/2018 - A8 - ECB VIOLATION SERVED,WORK DOES NOT CONFORM TO DRAWING AT PUBLIC PLAZA..LOCTION OF                     TRASH RECEPTICLES,2018-05-23,A8,ECB VIOLATION SERVED,2018
1479818,Overview for Complaint #:1479818 = RESOLVED,50 EAST 89 STREET,1046957,PARK REGIS APT CORP,05/23/2018 - A8 - ECB VIOLATION SERVED,ILLEGAL CLOSURE AT ENTIRE PLAZA..ONE SMALL AREA OF PROBING                      DOESET POSE IMMEDITE THREAT TO PUBLIC SAFTY,2018-05-23,A8,ECB VIOLATION SERVED,2018
1475008,Overview for Complaint #:1475008 = RESOLVED,245 EAST 54 STREET,1038575,BEVARD OWNERS CORP,03/23/2018 - A8 - ECB VIOLATION SERVED,"STREET LEVEL BUSINESS ACCESSORY AWNING ""ANGELOS PIZZA"" WITHO                    UT A PERMIT",2018-03-23,A8,ECB VIOLATION SERVED,2018
1472559,Overview for Complaint #:1472559 = RESOLVED,1 PENN PLAZA,1014387,KORPENN LLC,02/16/2018 - A8 - ECB VIOLATION SERVED,"PLAZA NOT PROPERL MAINTAINED , MISSING SEATING & SIGNS AND                      OPERATION OF OPEN AIR CAFE W/OUT CERTIFICATION",2018-02-16,A8,ECB VIOLATION SERVED,2018
1472562,Overview for Complaint #:1472562 = RESOLVED,235 EAST 40 STREET,1037178,VANDERBILT CONDOMINUM,02/16/2018 - A8 - ECB VIOLATION SERVED,OPEN PUBLIC PLAZA WITH ALL REQUIRED AMENITIES EXCEPT MISSIN                     8 BICYCLE SPACES & PLANTERS HAVE SPIKES,2018-02-16,A8,ECB VIOLATION SERVED,2018
1472563,Overview for Complaint #:1472563 = RESOLVED,685 THIRD AVENUE,1037555,"UNIZO REAL ESTATE NY FOUR, LLC",02/16/2018 - A8 - ECB VIOLATION SERVED,OPEN PUBLIC PLAZA WITH ALL REQUIRED AMENITIES EXCEPT MISSING                    (4) TREES & (30) LIGHTS NOT WORKING,2018-02-16,A8,ECB VIOLATION SERVED,2018
1472499,Overview for Complaint #:1472499 = RESOLVED,1370 SIXTH AVENUE,1034855,"AVENUE OF AMERICAS, LLC",02/15/2018 - A8 - ECB VIOLATION SERVED,"OPEN PUBLIC PLAZA WITH ALL REQUIRED AMENITIES.EXCEPT MISSING                     PLAQUE/SIGNS,PLANTERS & NO SEATING",2018-02-15,A8,ECB VIOLATION SERVED,2018
1472482,Overview for Complaint #:1472482 = RESOLVED,630 FIRST AVENUE,1022060,ANTHONY PAUL GIORGIO,02/15/2018 - A8 - ECB VIOLATION SERVED,OPEN PUBLIC PLAZA WITH MISSING DRINKING FOUNTAIN & STREET                       TREE. ALSO (6) BROKEN  BIKE BRACKETS,2018-02-15,A8,ECB VIOLATION SERVED,2018
1472486,Overview for Complaint #:1472486 = RESOLVED,45 WEST 60 STREET,1027187,COLUMBUS 60TH REALTY LLC,02/15/2018 - A8 - ECB VIOLATION SERVED,OPEN PUBLIC PLAZA WITH MISSING (5) BIKE & PARKING & INSTALL                     OF ILLUMINATED PARKING SOGN W/.OUT PERMIT,2018-02-15,A8,ECB VIOLATION SERVED,2018
1472502,Overview for Complaint #:1472502 = RESOLVED,255 EAST 49 STREET,1038254,STERLING PLAZA CONDOMINIUM,02/15/2018 - A8 - ECB VIOLATION SERVED,OPEN PUBLIC PLAZA PROVIDED ALL REQUIRED AMENITIES EXCEPT MIS                    SING ONE TREE,2018-02-15,A8,ECB VIOLATION SERVED,2018
1472495,Overview for Complaint #:1472495 = RESOLVED,12 EAST 49 STREET,1035434,KATO KAGAKU CO LTC,02/15/2018 - A8 - ECB VIOLATION SERVED,OPEN PUBLIC PLAZA/ARCADE WITH ONE (1) MISSING TREE,2018-02-15,A8,ECB VIOLATION SERVED,2018
1472501,Overview for Complaint #:1472501 = RESOLVED,123 COLUMBUS AVENUE,1028159,CORPORATION OF THE PRESIDING B,02/15/2018 - A8 - ECB VIOLATION SERVED,MISSING REQUIRED SEATING & BATHROOM AT POPS PLAZA/ARCADE,2018-02-15,A8,ECB VIOLATION SERVED,2018
1470211,Overview for Complaint #:1470211 = RESOLVED,575 5 AVENUE,1035407,NOT ON FILE,02/01/2018 - A8 - ECB VIOLATION SERVED,PLAZA CLOSED AT 11:55PM SHARP ALL DOORS LOCKED,2018-02-01,A8,ECB VIOLATION SERVED,2018
1470556,Overview for Complaint #:1470556 = RESOLVED,155 EAST 29 STREET,1018263,H & P 29TH ST ASSOC,01/22/2018 - A8 - ECB VIOLATION SERVED,"OPEN AIR PLAZAW/SPIKES AFFIXED TO PROHIBIT SEATING,NO ENTRY                     PLAQUE & ILLUMINATED SIGN/WORK WITH NO PERMIT",2018-01-22,A8,ECB VIOLATION SERVED,2018
1470551,Overview for Complaint #:1470551 = RESOLVED,240 EAST 27 STREET,1019855,EQR-EAST 27TH STREET APARTMENT,01/22/2018 - A8 - ECB VIOLATION SERVED,"OPEN AIR PLAZA W/SPIKES ON PLANTER EDGES. MISSING TREES, SIN                    SAN WORK & GATE IS LOCKED NO ACESS, ALSO REQUIRES MAINTENANC",2018-01-22,A8,ECB VIOLATION SERVED,2018
1470559,Overview for Complaint #:1470559 = RESOLVED,150 EAST 34 STREET,1018507,MURRAY HILL MARQUIS LLC,01/22/2018 - A8 - ECB VIOLATION SERVED,RESIDENTIAL PLAZA REQUIRES GENERAL MAINTENANCE(HANDRAILS &                      ELECTRICAL).NON ILLUMIATED SIGN INSTALLED W/O PERMIT,2018-01-22,A8,ECB VIOLATION SERVED,2018
1470561,Overview for Complaint #:1470561 = RESOLVED,1185 6 AVENUE,1083717,SL GREEN REALTY CORP.,01/22/2018 - A8 - ECB VIOLATION SERVED,THROUGH BLOCK PLAZA IS MISSING REQUIRED FOUNTAIN & POOL. INS                    TALL OF SIGNS W/OUT PERMITS,2018-01-22,A8,ECB VIOLATION SERVED,2018
1470550,Overview for Complaint #:1470550 = RESOLVED,50 LEXINGTON AVENUE,1018071,LEXINGTON TENANT CORP,01/22/2018 - A8 - ECB VIOLATION SERVED,RESIDENTIAL PLAZA WITH SPIKES AFFIXED TO PROHIBIT SEATING,2018-01-22,A8,ECB VIOLATION SERVED,2018
1470553,Overview for Complaint #:1470553 = RESOLVED,222 EAST 39 STREET,1020361,BLDG LIC 39TH ST LLC,01/22/2018 - A8 - ECB VIOLATION SERVED,"PLAZA TYPE MISSING PLAQUE,TABLE,CHAIRS, UMBRELLAS & REQUIRES                    GENERAL MAINTENANCE",2018-01-22,A8,ECB VIOLATION SERVED,2018
1470554,Overview for Complaint #:1470554 = RESOLVED,41 MADISON AVENUE,1016749,41 MADISON L.P.,01/22/2018 - A8 - ECB VIOLATION SERVED,"ARCADE/PLAZA , MISSING 4 SEATS, 1 BENCH & I LITTER RECEPTICL                    E",2018-01-22,A8,ECB VIOLATION SERVED,2018
1470557,Overview for Complaint #:1470557 = RESOLVED,1185 6 AVENUE,1083717,SL GREEN REALTY CORP.,01/22/2018 - A8 - ECB VIOLATION SERVED,OPEN AIR PLAZA W/NO PUBLIC SPACE SIGNAGE,2018-01-22,A8,ECB VIOLATION SERVED,2018
1470555,Overview for Complaint #:1470555 = RESOLVED,5 EAST 22 STREET,1016304,MADISON GREEN,01/22/2018 - A8 - ECB VIOLATION SERVED,"RESIDENTIAL PLAZA IS MISSING BIKE PARKING, PLAQUE SIGN & GAT                    E IS PADLOCKED/CLOSED--NO ACCESS",2018-01-22,A8,ECB VIOLATION SERVED,2018
1467805,Overview for Complaint #:1467805 = RESOLVED,101 BARCLAY STREET,1001416,4101 AUSTIN BOULEVARD CORPORAT,01/11/2018 - A8 - ECB VIOLATION SERVED,"NOT OPEN TO PUBLIC, MISSING PLAQUE/SIGNS & INTERIOR TREES",2018-01-11,A8,ECB VIOLATION SERVED,2018
1468920,Overview for Complaint #:1468920 = RESOLVED,1155 SIXTH AVENUE,1022631,DOLP 1155 PROPERTIES II LLC,12/29/2017 - A8 - ECB VIOLATION SERVED,OPEN PUBLIC PLAZA MISSING LITTER RECEPTILES & 4 TREES WITH I                    N PLAZA,2017-12-29,A8,ECB VIOLATION SERVED,2017
1468918,Overview for Complaint #:1468918 = RESOLVED,145 WEST 44 STREET,1085016,CDL WEST 45TH STREETL.P.,12/29/2017 - A8 - ECB VIOLATION SERVED,THROUGH BLOCK ARCADE MISSING PLAQUE/SIGN & SIGN MISSING INFO,2017-12-29,A8,ECB VIOLATION SERVED,2017
1468927,Overview for Complaint #:1468927 = RESOLVED,51 WEST 52 STREET,1081406,CBS INC,12/29/2017 - A8 - ECB VIOLATION SERVED,OPEN AIR PLAZA MISSING PLAQUE/SIGN.53RD ST SIDE WITH 4 PARKE                    D VEHICLES & 3 CANOPIES W/O PERMITS,2017-12-29,A8,ECB VIOLATION SERVED,2017
1468911,Overview for Complaint #:1468911 = RESOLVED,146 WEST 57 STREET,1085969,METROPOLITAN TOWER CONDOMINIUM,12/29/2017 - A8 - ECB VIOLATION SERVED,"URBAN PLAZA PRIVATIZED BY ""MILOS CAFE NEW YORK"" WITH TABLES                     & CHAIRS .METAL RAILS INSTALLED ON EAST PLANTER LEDGES",2017-12-29,A8,ECB VIOLATION SERVED,2017
1468912,Overview for Complaint #:1468912 = RESOLVED,115 EAST 57 STREET,1036926,THE GALLERIA CONDOMINIUM,12/29/2017 - A8 - ECB VIOLATION SERVED,"THROUGH BLOCK ARCADE MISSING 37 MOVABLE CHAIRS, 1 TABLE , 1                     TREE & PLAQUE/SIGN MISSUING REQUIRED INFO",2017-12-29,A8,ECB VIOLATION SERVED,2017
1468916,Overview for Complaint #:1468916 = RESOLVED,200 EAST 33 STREET,1020078,"PLAZA REALTY INVESTORS, DE 1,",12/29/2017 - A8 - ECB VIOLATION SERVED,"OPEN AIR PLAZA MISSING PALQUE/SIGN, SEATING WITH SPIKES & AT                     32 ST SIDE ILLEGAL STORAGE & ILLGEAL BUSINESS SIGNS",2017-12-29,A8,ECB VIOLATION SERVED,2017
1468457,Overview for Complaint #:1468457 = RESOLVED,58 WEST 58 STREET,1035078,58 WEST 58TH ST  CONDOMINIUM,12/21/2017 - A9 - ECB & BUILDINGS VIOLATIONS SERVED,"MULTIPLE VIOLATING CONDITIONS FOUND , INCLUDING MISSING SIGN                    , ILLEGAL CANOPY/PARKING/SPIKES ON SEAS, ETC",2017-12-21,A9,ECB & BUILDINGS VIOLATIONS SERVED,2017
1468464,Overview for Complaint #:1468464 = RESOLVED,1633 BROADWAY,1024812,PGREF I 1633 BROADWAY TOWER L.,12/21/2017 - A8 - ECB VIOLATION SERVED,"OPEN AIR PLAQUE MISSING ARTWOR,TWO PLAQUE/SIGNS. ARCADE MISS                    ING TWO PLANTERS",2017-12-21,A8,ECB VIOLATION SERVED,2017
1468462,Overview for Complaint #:1468462 = RESOLVED,535 MADISON AVENUE,1035747,MADISON TOWER ASSOCIATES LP,12/21/2017 - A8 - ECB VIOLATION SERVED,OPEN AIR PLAZA MISSING REQUIRED PLAQUE/SIGN,2017-12-21,A8,ECB VIOLATION SERVED,2017
1468459,Overview for Complaint #:1468459 = RESOLVED,235 WEST 48 STREET,1076194,CS RITZ RESIDENCES LLC,12/21/2017 - A8 - ECB VIOLATION SERVED,"OPEN AIR PLAZA MISSING ONE PLAQUE/SIGN & 4 TREES. ILLEGAL ST                    ORSGE OF ITEMS ON PLAZA.ILLEGAL PLACEMENT OF PLANTERS, TABLE",2017-12-21,A8,ECB VIOLATION SERVED,2017
1468466,Overview for Complaint #:1468466 = RESOLVED,322 WEST 57 STREET,1025450,THE 322 WEST 57TH ST CONDOMINU,12/21/2017 - A8 - ECB VIOLATION SERVED,"URBAN PLAZA MISSING MOVABLE CHAIRS, 8 BKN CHAIRS,GATES PARTI                    ALLY OPEN & XMAS TREES & DECORATING ON OR IN PLAZAZ",2017-12-21,A8,ECB VIOLATION SERVED,2017
1468461,Overview for Complaint #:1468461 = RESOLVED,457 MADISON AVENUE,1035466,NEW YORK PALACE HOTEL,12/21/2017 - A8 - ECB VIOLATION SERVED,OPEN AIR PLAZA  MISSING PLAQUES/SIGN,2017-12-21,A8,ECB VIOLATION SERVED,2017
1467085,Overview for Complaint #:1467085 = RESOLVED,825 8 AVENUE,1076203,"WWP OFFICE, LLC",12/05/2017 - A8 - ECB VIOLATION SERVED,"OPEN AIR PLAZA MISSING PLAQUE/SIGN, 136 MOVABLE CHAIRS, 68 T                    ABLES AND ONE TTREE",2017-12-05,A8,ECB VIOLATION SERVED,2017
1467082,Overview for Complaint #:1467082 = RESOLVED,445 5 AVENUE,1017603,FIFTH AVE CONDO - B.H.S. MGMNT,12/05/2017 - A8 - ECB VIOLATION SERVED,OPEN AIR URBAN PLAZA WITH ALL REQ. AMENT. BUBLAR FOUNTAIN                       MISSING ADD COVER/FASCIA & WALL FEATURE DRAINS SUNKEN/CRACKE,2017-12-05,A8,ECB VIOLATION SERVED,2017
1467086,Overview for Complaint #:1467086 = RESOLVED,1285 6 AVENUE,1023158,C & K 1285 OWNER LLC,12/05/2017 - A8 - ECB VIOLATION SERVED,"OPEN AIR PLAZA MISSING PLAQUE/SIGNS, 2 WATER POOLS, 2 DRINKI                    NG FOUNTAINS, PLANTING,8 LITTER RECEPTACLES & 8 TREES",2017-12-05,A8,ECB VIOLATION SERVED,2017
1467080,Overview for Complaint #:1467080 = RESOLVED,330 WEST 56 STREET,1025442,PERLBINDER HOLDINGS LLC,12/05/2017 - A8 - ECB VIOLATION SERVED,AS OF RIGHT PLAZA MISSING PLAQUE/SIGN. 3 CIRCULAR CONC. SEAT                    WITH METAL SPIKES. E&W PLAZA WITH STOR..WEST PLZ SIGNS W/O P,2017-12-05,A8,ECB VIOLATION SERVED,2017
1467078,Overview for Complaint #:1467078 = RESOLVED,120 PARK AVENUE,1035334,120 PARK AVENUE ASSOCIATES LLC,12/05/2017 - A8 - ECB VIOLATION SERVED,"ARCADE SPACE MISSING, ARTWPRK, 8 SCULPTURES, FOOD SERVICE,RE                    TAIL FRONTAGE,MOVABLE CHAIRS & 6 TREES",2017-12-05,A8,ECB VIOLATION SERVED,2017
1467075,Overview for Complaint #:1467075 = RESOLVED,3 PARK AVENUE,1087537,NOT ON FILE,12/05/2017 - A8 - ECB VIOLATION SERVED,OPEN AIR PLAZA WITH MISSING PALGUE/SIGNS,2017-12-05,A8,ECB VIOLATION SERVED,2017
1467076,Overview for Complaint #:1467076 = RESOLVED,9 WEST 57 STREET,1035071,"SOLOVIEFF REALTY CO. II, L.L.C",12/05/2017 - A8 - ECB VIOLATION SERVED,"AS OF RIGHT PLAZA MISSING PLAQUE/SIGN W/SHANY ON EAST SIDE                      FOR ADJ CONSTRUCTION SITE, ALSO USE OF SPIKES ON PLANTERS",2017-12-05,A8,ECB VIOLATION SERVED,2017
1466425,Overview for Complaint #:1466425 = RESOLVED,1251 6 AVENUE,1022706,NOT ON FILE,11/28/2017 - A8 - ECB VIOLATION SERVED,OPEN AIR PLAZA MISSING ENTRY PLAQUE SIGNS,2017-11-28,A8,ECB VIOLATION SERVED,2017
1466424,Overview for Complaint #:1466424 = RESOLVED,1345 6 AVENUE,1083719,1345 LEASEHOLD LLC,11/28/2017 - A8 - ECB VIOLATION SERVED,"NO DCP CERTIFICATION FOR OPEN AIR CAFE ALONG W 55TH ST                          MISSING SIGANGE, TREES, GARBAGE CANS, ETC",2017-11-28,A8,ECB VIOLATION SERVED,2017
1466429,Overview for Complaint #:1466429 = RESOLVED,280 PARK AVENUE,1035441,BROADWAY 280 PARK FEE LLC,11/28/2017 - A8 - ECB VIOLATION SERVED,"OPEN AIR PUBLIC PLAZA MISSING REQUIRED (4) PLAQUE/SIGNS, (8)                    MOVABLE CHAIRS, (2)  TABLES & ONE BICYCLE RACK",2017-11-28,A8,ECB VIOLATION SERVED,2017
1466426,Overview for Complaint #:1466426 = RESOLVED,611 5 AVENUE,1081145,SAKS AND CO,11/28/2017 - A8 - ECB VIOLATION SERVED,PUBLIC PLAZA MISSING ENTRY PLAQUE/SING ON E 49TH & 50TH                         STREET,2017-11-28,A8,ECB VIOLATION SERVED,2017
1465025,Overview for Complaint #:1465025 = RESOLVED,121 EAST 57 STREET,1036904,"WALLACE, STRATFORD CTR",11/22/2017 - A8 - ECB VIOLATION SERVED,OPEN PUBLIC PLAZA OPEN AT TIME OF INSPECTION. COHEN PLAZA                       MISSING 6 CHAIRS. LEX/57 STREET MISSING PLAQUE/SIGN,2017-11-22,A8,ECB VIOLATION SERVED,2017
1465707,Overview for Complaint #:1465707 = RESOLVED,450 PARK AVENUE,1035780,"450 PROPERTY OWNER US, LLC",11/17/2017 - A8 - ECB VIOLATION SERVED,OPEN AIR PLAZA W/O PLAQUE/SIGN & MISSING ONE WATER FEATURE,2017-11-17,A8,ECB VIOLATION SERVED,2017
1465706,Overview for Complaint #:1465706 = RESOLVED,101 PARK AVENUE,1036144,101 PARK AVENUE ASSOCIATES II,11/17/2017 - A8 - ECB VIOLATION SERVED,OPEN AIR PLAZA WITH NO ENTRY PLAQUE/SIGNS AT ALL LOCATIONS,2017-11-17,A8,ECB VIOLATION SERVED,2017
1465586,Overview for Complaint #:1465586 = RESOLVED,90 WASHINGTON STREET,1000793,"EKATZ FAMILY, LLC",11/16/2017 - A8 - ECB VIOLATION SERVED,WASHINGTON STREET OPEN AIR CAFE WITH EXPIRE CERTIFICATION                       WEST SIDE OPEN AIR PLAZA WITH 3 VEHICLES PARKED,2017-11-16,A8,ECB VIOLATION SERVED,2017
1465315,Overview for Complaint #:1465315 = RESOLVED,90 WASHINGTON STREET,1000793,"EKATZ FAMILY, LLC",11/13/2017 - A8 - ECB VIOLATION SERVED,"OPEN PUBLIC PLAZA CAFE PRIVATED WITH TABLES, BENCHES, GAMES,                    ETC. WEST SIDE OPEN PLAZA WITH 3 PARKED VEHICLES",2017-11-13,A8,ECB VIOLATION SERVED,2017
1465308,Overview for Complaint #:1465308 = RESOLVED,1133 SIXTH AVENUE,1080824,DOLP 1133 PROPERTIES II LLC,11/13/2017 - A8 - ECB VIOLATION SERVED,"OPEN PUBLIC PLAZA MISSING: PERIODIC COMPLIANCE REPORT,                          FOUNTAIN & PLAQUE/SIGN",2017-11-13,A8,ECB VIOLATION SERVED,2017
1465311,Overview for Complaint #:1465311 = RESOLVED,17 STATE STREET,1000020,17 STATE OWNER LLC,11/13/2017 - A8 - ECB VIOLATION SERVED,"OPEN URBAN PLAZA MISSING: MOVABLE CHAIRS & TABLES, 3 TREES,                     EXHIBIT, & ARCADE PLAQUE",2017-11-13,A8,ECB VIOLATION SERVED,2017
1464294,Overview for Complaint #:1464294 = RESOLVED,376 BROADWAY,1001866,MANDARIN PLAZA,10/31/2017 - A8 - ECB VIOLATION SERVED,OPEN PUBLIC PLAZA WITH TWO NON-CONFORMIMG PLAQUE SIGNS,2017-10-31,A8,ECB VIOLATION SERVED,2017
1464295,Overview for Complaint #:1464295 = RESOLVED,88 PINE STREET,1000876,ORIENT OVERSEAS ASSOCIATES,10/31/2017 - A8 - ECB VIOLATION SERVED,BLOCK ARCADE WITH MISSING PALQUES/SIGNS & ONE TREE,2017-10-31,A8,ECB VIOLATION SERVED,2017
1461654,Overview for Complaint #:1461654 = RESOLVED,30 PARK PLACE,1089428,NOT ON FILE,10/20/2017 - A8 - ECB VIOLATION SERVED,BICYCLE RA ACK INSTALLED . MISSING 14 TABLES & 5 LITTER RECE                    PTACLES,2017-10-20,A8,ECB VIOLATION SERVED,2017
1463408,Overview for Complaint #:1463408 = RESOLVED,1114 SIXTH AVENUE,1034196,1114 6TH AVENUE OWNER LLC,10/20/2017 - A8 - ECB VIOLATION SERVED,"OPEN PUBLIC PLAZA--OPEN AIR CAFE BARRICADED, NO GROUND MARKI                    NGS& NOT PROPERLY LOCATED",2017-10-20,A8,ECB VIOLATION SERVED,2017
1463410,Overview for Complaint #:1463410 = RESOLVED,45 BROADWAY,1000804,45 BROADWAY LLC,10/20/2017 - A8 - ECB VIOLATION SERVED,RESTRICTED ACCESS TO ESCALATOR AT INDOOR ARCADE & MISSING PL                    AQUE/SIGNS AT BOTH ENTRANCES,2017-10-20,A8,ECB VIOLATION SERVED,2017
1462914,Overview for Complaint #:1462914 = RESOLVED,200 WATER STREET,1001163,200 WATER SPE L.L.C.,10/13/2017 - A8 - ECB VIOLATION SERVED,PUBLIC PLAZA MISSING ENTRY PLAQUE/SIGN AT FULTON ST & JOHN/P                    EARL STREETS,2017-10-13,A8,ECB VIOLATION SERVED,2017
1462894,Overview for Complaint #:1462894 = RESOLVED,140 BROADWAY,1001027,140 BW LLC,10/13/2017 - A8 - ECB VIOLATION SERVED,PUBLIC PLAZA WIHT NO PLAQUE/SIGN INDICATING PUBLIC PLAZA,2017-10-13,A8,ECB VIOLATION SERVED,2017
1462899,Overview for Complaint #:1462899 = RESOLVED,1 LIBERTY PLAZA,1001068,ONE LIBERTY PLAZA CONDO,10/13/2017 - A8 - ECB VIOLATION SERVED,PUBLIC PLAZA MISSING ONE OF THE 3 REQUIRED PLAQUE/SIGN INDIC                    ATING PUBLIC PLAZA,2017-10-13,A8,ECB VIOLATION SERVED,2017
1462915,Overview for Complaint #:1462915 = RESOLVED,55 WATER STREET,1083346,NEW WATER STREET CORP.,10/13/2017 - A8 - ECB VIOLATION SERVED,PUBLIC PLAZA MISSING ENTRY PLAQUE/SIGN ON THE SOUTH STREET S                    IDE,2017-10-13,A8,ECB VIOLATION SERVED,2017
1462903,Overview for Complaint #:1462903 = RESOLVED,86 WATER STREET,1000859,UDR 10 HANOVER LLC,10/13/2017 - A8 - ECB VIOLATION SERVED,"ELEVATED PORTION OF PUBLIC PLAZA- HANOVER SQUARE PRIVATIZED                     BY ""COMPLETE BODY""",2017-10-13,A8,ECB VIOLATION SERVED,2017
1462901,Overview for Complaint #:1462901 = RESOLVED,40 RECTOR STREET,1088750,40 RECTOR CONDOMINIUM,10/13/2017 - A8 - ECB VIOLATION SERVED,PUBLIC PLAZA WITH NO PLAQUE/SIGN INDICATING PUBLIC PLAZA,2017-10-13,A8,ECB VIOLATION SERVED,2017
1461698,Overview for Complaint #:1461698 = RESOLVED,85 BROAD STREET,1066031,85 BROAD STREET PROPERTY OWNER,09/28/2017 - A8 - ECB VIOLATION SERVED,"PUBLIC PLAZA PRIVATIZED BY ""LE PAIN QUOTIDIEN"" WITH TABLES &                     CHAIRS NO PLAQUE/SIGN OBSERVED",2017-09-28,A8,ECB VIOLATION SERVED,2017
1461705,Overview for Complaint #:1461705 = RESOLVED,100 WALL STREET,1000875,100 WALL INVESTMENTS LLC,09/28/2017 - A8 - ECB VIOLATION SERVED,"PUBLIC PLAZA PRIVATIZED BY ""GREGORY'S CAFE"" WITH TABLES & CH                    AIRS NO PLAQUE/SIGN OBSERVED",2017-09-28,A8,ECB VIOLATION SERVED,2017
1461696,Overview for Complaint #:1461696 = RESOLVED,40 BROAD STREET,1078985,NOT ON FILE,09/28/2017 - A8 - ECB VIOLATION SERVED,REAR PUBLIC PLAZA REMOVED ALL REQUIRED AMENITIES: PLANTERS S                    EATING TREES PLAQUE/SIGN ETC,2017-09-28,A8,ECB VIOLATION SERVED,2017
1461697,Overview for Complaint #:1461697 = RESOLVED,55 BROAD STREET,1000821,55 BROAD STREET COMPANY,09/28/2017 - A8 - ECB VIOLATION SERVED,"PUBLIC PLAZA PRIVATIZED BY ""HALE AND HEARTY SOUPS"" WITH A TA                    BLE & 9 CHAIRS NO PLAQUE/SIGN OBSERVED",2017-09-28,A8,ECB VIOLATION SERVED,2017
